category,device,bitwig_manual_refs,drivenbymoss_manual_surface,drivenbymoss_device_specific_behavior,visual_behavior_family,initial_priority,initial_disposition,verification_state,rationale
Note FX,Quantize,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,sequence-note-flow,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Some devices need sequence or note-flow views; others are well served by semantics. Verify per device.
Note FX,Randomize,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,sequence-note-flow,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Some devices need sequence or note-flow views; others are well served by semantics. Verify per device.
Note FX,Ricochet,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,sequence-note-flow,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Some devices need sequence or note-flow views; others are well served by semantics. Verify per device.
Note FX,Stepwise,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,sequence-note-flow,P1,DESIGN_NEXT,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Step sequence state is better represented as a pattern than as eight unrelated bars.
Note FX,Strum,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,sequence-note-flow,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Some devices need sequence or note-flow views; others are well served by semantics. Verify per device.
Note FX,Transpose Map,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,sequence-note-flow,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Some devices need sequence or note-flow views; others are well served by semantics. Verify per device.
Note FX,Velocity Curve,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,sequence-note-flow,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Some devices need sequence or note-flow views; others are well served by semantics. Verify per device.
Organ,Organ,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,device-overview,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Recognizable native overview may help but is not an initial system proof.
Percussion,v1 Cowbell,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,drum-voice,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Compact drum voice; defer until a reusable drum-family presentation exists.
Percussion,v8 Claves,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,drum-voice,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Compact drum voice; defer until a reusable drum-family presentation exists.
Percussion,v8 Cowbell,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,drum-voice,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Compact drum voice; defer until a reusable drum-family presentation exists.
Percussion,v8 Maracas,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,drum-voice,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Compact drum voice; defer until a reusable drum-family presentation exists.
Percussion,v8 Rimshot,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,drum-voice,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Compact drum voice; defer until a reusable drum-family presentation exists.
Percussion,v9 Rimshot,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,drum-voice,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Compact drum voice; defer until a reusable drum-family presentation exists.
Reverb,Convolution,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,waveform-boundary,P1,DESIGN_NEXT,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Impulse-response visual can provide meaningful native context unavailable in generic parameter bars.
Reverb,Reverb,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,graph-control,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,"Space/impulse information can be useful, especially Convolution, after core device behavior exists."
Routing,Audio Receiver,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,semantic-status,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Source and destination identity should remain clear semantics; captured pixels add little initially.
Routing,Note Receiver,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,semantic-status,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Source and destination identity should remain clear semantics; captured pixels add little initially.
Snare,v0 Snare,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,drum-voice,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Compact drum voice; defer until a reusable drum-family presentation exists.
Snare,v1 Snare,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,drum-voice,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Compact drum voice; defer until a reusable drum-family presentation exists.
Snare,v8 Snare,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,drum-voice,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Compact drum voice; defer until a reusable drum-family presentation exists.
Snare,v9 Snare,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,drum-voice,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Compact drum voice; defer until a reusable drum-family presentation exists.
Spectral,Freq Split,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,analyzer,P1,DESIGN_NEXT,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Split boundaries and resulting frequency regions are inherently visual.
Spectral,Harmonic Split,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,analyzer,P1,DESIGN_NEXT,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Harmonic partitioning is more legible with graphical context.
Spectral,Loud Split,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,analyzer,P1,DESIGN_NEXT,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Loudness regions and routing are naturally visual.
Spectral,Transient Split,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,analyzer,P1,DESIGN_NEXT,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Transient/tonal separation is naturally visual.
Synth,FM-4,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,device-overview,P1,DESIGN_NEXT,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Native identity plus encoder-linked parameter focus is a central Pushwig use case.
Synth,Phase-4,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,device-overview,P1,DESIGN_NEXT,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Native identity plus encoder-linked parameter focus is a central Pushwig use case.
Synth,Polymer,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,device-overview,P1,DESIGN_NEXT,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Representative modern native synth for proving reusable overview and parameter-focus behavior.
Synth,Polysynth,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,device-overview,P1,DESIGN_NEXT,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Native identity plus encoder-linked parameter focus is a central Pushwig use case.
Synth,Sampler,BW-D19+BW-Q61,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,waveform-boundary,P0,DESIGN_NOW,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,"First complete native-device experience: overview, parameter focus, playback/loop markers, and sliced workflows."
The Grid,FX Grid,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,patch-canvas,P3,DEFER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,"Large, arbitrary patch canvases need a separate navigation model; generic device semantics remain safer."
The Grid,Note Grid,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,patch-canvas,P3,DEFER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,"Large, arbitrary patch canvases need a separate navigation model; generic device semantics remain safer."
The Grid,Poly Grid,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,patch-canvas,P3,DEFER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,"Large, arbitrary patch canvases need a separate navigation model; generic device semantics remain safer."
Tom,v0 Tom,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,drum-voice,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Compact drum voice; defer until a reusable drum-family presentation exists.
Tom,v1 Tom,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,drum-voice,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Compact drum voice; defer until a reusable drum-family presentation exists.
Tom,v8 Tom,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,drum-voice,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Compact drum voice; defer until a reusable drum-family presentation exists.
Tom,v9 Tom,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,drum-voice,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Compact drum voice; defer until a reusable drum-family presentation exists.
Utility,DC Offset,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,semantic-status,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Most utility devices are better served by compact values/status than a native image.
Utility,Dual Pan,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,semantic-status,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Most utility devices are better served by compact values/status than a native image.
Utility,Test Tone,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,semantic-status,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Frequency/level/type are compact semantic values; no native image required initially.
Utility,Time Shift,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,semantic-status,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Most utility devices are better served by compact values/status than a native image.
Utility,Tool,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,semantic-status,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Core utility values are already well suited to a semantic page.
Legacy,Audio MOD,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,semantic-status,P4,DEFER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Compatibility-only devices should not lead new visual design.
Legacy,LFO MOD,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,semantic-status,P4,DEFER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Compatibility-only devices should not lead new visual design.
Legacy,Note MOD,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,semantic-status,P4,DEFER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Compatibility-only devices should not lead new visual design.
Legacy,Step MOD,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,semantic-status,P4,DEFER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Compatibility-only devices should not lead new visual design.
